OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
6c5f4f9666d82b1bedf94e99acfe6741,Bacteria,Firmicutes,Bacilli,Bacillales,,,
04ecfad5772d2e09a84a0f5ef460536c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
3ea5743cba5ece368f07e1b33d53e54c,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured_bacterium
f8e966fd6a44aecf3991a7dd167fca57,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,
92f1720367db58c68a96eceb9feb416a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
d3b52387360ceed8f554547f02b16f85,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,
a47fe9d2ebacfb4e6e443d3e273f1f7b,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,
33b12dce219cca6aed4a011624419cd5,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Penicillium_sp.
4ad2ba05aa6bf7c49e394598b2398487,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,
6ef2bdf44dd44317051b5600a0e73dfa,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
83e948f389f9d97b0c975afc880989e8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
655c4e26812b8a7e6fdf8d39bacae072,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,,
5d134b2f08e4f15d7c2030a638df758e,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,
dfd42bc974d222dd5ad90c5cb821ea9f,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
c8db2b48c3d18d511d24d111d27b0616,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Pullulanibacillus,uncultured_bacterium
64f98343924f3c67add2d2ea9234d32b,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,,
4d85dce61b81ba8e2d7a4b774b4e621d,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,
6de8fff163b98c8aa71aeec462c52f49,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
51b62f9c4af04b42337fad195b350b6a,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,
3e1c858f9b1033a63f90a46faefcf230,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,,
d3ac14e193d870746f08f2e205a904d2,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,
5d9180880af9854c6372832cdeb3d320,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,,
1d10839e76c993b8d2f3ad4a26dadaba,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Pullulanibacillus,uncultured_bacterium
7ea970347596ce5fc7aa22535a922c32,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,
